"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre","profit_ratio","decade","distributor_top7","md","month_day"
"1",2007-06-22,"Evan Almighty",1.75e+08,100289690,174131329,"Universal","PG","Comedy",0.995036165714286,2000,"Universal",173,"Jun-22"
"2",1995-07-28,"Waterworld",1.75e+08,88246220,264246220,"Universal","PG-13","Action",1.5099784,1990,"Universal",209,"Jul-28"
"3",2017-05-12,"King Arthur: Legend of the Sword",1.75e+08,39175066,139950708,"Warner Bros.","PG-13","Adventure",0.799718331428571,2010,"Warner Bros.",132,"May-12"
"4",2013-12-25,"47 Ronin",1.75e+08,38362475,151716815,"Universal","PG-13","Action",0.866953228571429,2010,"Universal",359,"Dec-25"
"5",2018-06-22,"Jurassic World: Fallen Kingdom",1.7e+08,416769345,1304866322,"Universal","PG-13","Action",7.67568424705882,2010,"Universal",173,"Jun-22"
"6",2014-08-01,"Guardians of the Galaxy",1.7e+08,333172112,771051335,"Walt Disney","PG-13","Action",4.53559608823529,2010,"Walt Disney",213,"Aug-1"
"7",2010-05-07,"Iron Man 2",1.7e+08,312433331,621156389,"Paramount Pictures","PG-13","Action",3.65386111176471,2010,"Paramount Pictures",127,"May-7"
"8",2014-04-04,"Captain America: The Winter Soldier",1.7e+08,259746958,714401889,"Walt Disney","PG-13","Action",4.20236405294118,2010,"Walt Disney",94,"Apr-4"
"9",2014-07-11,"Dawn of the Planet of the Apes",1.7e+08,208545589,710644566,"20th Century Fox","PG-13","Adventure",4.18026215294118,2010,"20th Century Fox",192,"Jul-11"
"10",2004-11-10,"The Polar Express",1.7e+08,186493587,310634169,"Warner Bros.","G","Adventure",1.82725981764706,2000,"Warner Bros.",315,"Nov-10"
"11",2012-06-01,"Snow White and the Huntsman",1.7e+08,155136755,401021746,"Universal","PG-13","Adventure",2.35895144705882,2010,"Universal",153,"Jun-1"
"12",2003-07-01,"Terminator 3: Rise of the Machines",1.7e+08,150358296,433058296,"Warner Bros.","R","Action",2.54740174117647,2000,"Warner Bros.",182,"Jul-1"
"13",2004-05-07,"Van Helsing",1.7e+08,120150546,300150546,"Universal","PG-13","Action",1.76559144705882,2000,"Universal",128,"May-7"
"14",2015-05-22,"Tomorrowland",1.7e+08,93436322,207283457,"Walt Disney","PG","Adventure",1.21931445294118,2010,"Walt Disney",142,"May-22"
"15",2016-05-27,"Alice Through the Looking Glass",1.7e+08,77042381,276934087,"Walt Disney","PG","Adventure",1.62902404117647,2010,"Walt Disney",148,"May-27"
"16",2010-05-21,"Shrek Forever After",1.65e+08,238736787,756244673,"Paramount Pictures","PG","Adventure",4.58330104848485,2010,"Paramount Pictures",141,"May-21"
"17",2016-11-04,"Doctor Strange",1.65e+08,232641920,676486457,"Walt Disney","PG-13","Action",4.09991792121212,2010,"Walt Disney",309,"Nov-4"
"18",2014-11-07,"Big Hero 6",1.65e+08,222527828,652127828,"Walt Disney","PG","Adventure",3.95228986666667,2010,"Walt Disney",311,"Nov-7"
"19",2010-03-26,"How to Train Your Dragon",1.65e+08,217581232,494870992,"Paramount Pictures","PG","Adventure",2.99921813333333,2010,"Paramount Pictures",85,"Mar-26"
"20",2012-11-02,"Wreck-It Ralph",1.65e+08,189412677,496511521,"Walt Disney","PG","Adventure",3.00916073333333,2010,"Walt Disney",307,"Nov-2"
"21",2014-11-05,"Interstellar",1.65e+08,188017894,667752422,"Paramount Pictures","PG-13","Adventure",4.04698437575758,2010,"Paramount Pictures",309,"Nov-5"
"22",2016-06-24,"Independence Day: Resurgence",1.65e+08,103144286,384413934,"20th Century Fox","PG-13","Action",2.32978141818182,2010,"20th Century Fox",176,"Jun-24"
"23",2011-07-29,"Cowboys and Aliens",1.63e+08,100368560,176038324,"Universal","PG-13","Action",1.07998971779141,2010,"Universal",210,"Jul-29"
"24",2007-05-17,"Shrek the Third",1.6e+08,322719944,807330936,"Paramount Pictures","PG","Adventure",5.04581835,2000,"Paramount Pictures",137,"May-17"
"25",2013-05-24,"Fast and Furious 6",1.6e+08,238679850,789300444,"Universal","PG-13","Action",4.933127775,2010,"Universal",144,"May-24"
"26",2011-06-03,"X-Men: First Class",1.6e+08,146408305,355408305,"20th Century Fox","PG-13","Action",2.22130190625,2010,"20th Century Fox",154,"Jun-3"
"27",2008-12-25,"The Curious Case of Benjamin Button",1.6e+08,127509326,329631958,"Paramount Pictures","PG-13","Drama",2.0601997375,2000,"Paramount Pictures",360,"Dec-25"
"28",2010-07-14,"The Sorcerer's Apprentice",1.6e+08,63150991,217986320,"Walt Disney","PG","Adventure",1.3624145,2010,"Walt Disney",195,"Jul-14"
"29",2006-05-12,"Poseidon",1.6e+08,60674817,181674817,"Warner Bros.","PG-13","Adventure",1.13546760625,2000,"Warner Bros.",132,"May-12"
"30",2016-06-10,"Warcraft",1.6e+08,47225655,425547111,"Universal","PG-13","Action",2.65966944375,2010,"Universal",162,"Jun-10"
"31",2016-09-30,"Deepwater Horizon",1.56e+08,61433527,122631306,"Lionsgate","PG-13","Drama",0.786098115384615,2010,"Lionsgate",274,"Sep-30"
"32",2015-07-01,"Terminator: Genisys",1.55e+08,89760956,432150894,"Paramount Pictures","PG-13","Action",2.78807028387097,2010,"Paramount Pictures",182,"Jul-1"
"33",2018-03-23,"Pacific Rim: Uprising",1.55e+08,59185715,290241338,"Universal","PG-13","Action",1.87252476129032,2010,"Universal",82,"Mar-23"
"34",2004-11-24,"Alexander",1.55e+08,34297191,167297191,"Warner Bros.","R","Action",1.07933671612903,2000,"Warner Bros.",329,"Nov-24"
"35",2017-07-14,"War for the Planet of the Apes",1.52e+08,146880162,489592267,"20th Century Fox","PG-13","Action",3.22100175657895,2010,"20th Century Fox",195,"Jul-14"
"36",2001-05-25,"Pearl Harbor",151500000,198539855,449239855,"Walt Disney","PG-13","Action",2.9652795709571,2000,"Walt Disney",145,"May-25"
"37",2007-07-02,"Transformers",1.51e+08,319246193,708272592,"Paramount Pictures","PG-13","Action",4.69054696688742,2000,"Paramount Pictures",183,"Jul-2"
"38",2017-06-02,"Wonder Woman",1.5e+08,412563408,821133378,"Warner Bros.","PG-13","Action",5.47422252,2010,"Warner Bros.",153,"Jun-2"
"39",2016-03-04,"Zootopia",1.5e+08,341268248,1019706594,"Walt Disney","PG","Adventure",6.79804396,2010,"Walt Disney",64,"Mar-4"
"40",2005-11-18,"Harry Potter and the Goblet of Fire",1.5e+08,290013036,896911078,"Warner Bros.","PG-13","Adventure",5.97940718666667,2000,"Warner Bros.",322,"Nov-18"
"41",2003-05-15,"The Matrix Reloaded",1.5e+08,281553689,738576929,"Warner Bros.","R","Action",4.92384619333333,2000,"Warner Bros.",135,"May-15"
"42",2007-12-14,"I am Legend",1.5e+08,256393010,585532684,"Warner Bros.","PG-13","Horror",3.90355122666667,2000,"Warner Bros.",348,"Dec-14"
"43",2008-07-01,"Hancock",1.5e+08,227946274,624234272,"Sony Pictures","PG-13","Action",4.16156181333333,2000,"Sony Pictures",183,"Jul-1"
"44",2005-07-15,"Charlie and the Chocolate Factory",1.5e+08,206459076,475825484,"Warner Bros.","PG","Adventure",3.17216989333333,2000,"Warner Bros.",196,"Jul-15"
"45",2007-06-29,"Ratatouille",1.5e+08,206445654,626549695,"Walt Disney","G","Adventure",4.17699796666667,2000,"Walt Disney",180,"Jun-29"
"46",2013-11-08,"Thor: The Dark World",1.5e+08,206362140,644602516,"Walt Disney","PG-13","Action",4.29735010666667,2010,"Walt Disney",312,"Nov-8"
"47",2005-06-15,"Batman Begins",1.5e+08,205343774,359142722,"Warner Bros.","PG-13","Action",2.39428481333333,2000,"Warner Bros.",166,"Jun-15"
"48",2015-07-31,"Mission: Impossible—Rogue Nation",1.5e+08,195042377,689388363,"Paramount Pictures","PG-13","Action",4.59592242,2010,"Paramount Pictures",212,"Jul-31"
"49",2017-07-21,"Dunkirk",1.5e+08,190068280,499900860,"Warner Bros.","PG-13","Action",3.3326724,2010,"Warner Bros.",202,"Jul-21"
"50",2011-05-06,"Thor",1.5e+08,181030624,449326618,"Paramount Pictures","PG-13","Action",2.99551078666667,2010,"Paramount Pictures",126,"May-6"
"51",2008-11-07,"Madagascar: Escape 2 Africa",1.5e+08,180174880,599680774,"Paramount Pictures","PG","Adventure",3.99787182666667,2000,"Paramount Pictures",312,"Nov-7"
"52",2009-05-01,"X-Men Origins: Wolverine",1.5e+08,179883157,374825760,"20th Century Fox","PG-13","Action",2.4988384,2000,"20th Century Fox",121,"May-1"
"53",2011-05-26,"Kung Fu Panda 2",1.5e+08,165249063,664837547,"Paramount Pictures","PG","Adventure",4.43225031333333,2010,"Paramount Pictures",146,"May-26"
"54",2015-05-15,"Mad Max: Fury Road",1.5e+08,153636354,370651733,"Warner Bros.","R","Action",2.47101155333333,2010,"Warner Bros.",135,"May-15"
"55",2018-08-10,"The Meg",1.5e+08,142700791,527100791,"Warner Bros.","PG-13","Action",3.51400527333333,2010,"Warner Bros.",222,"Aug-10"
"56",2003-11-05,"The Matrix Revolutions",1.5e+08,139270910,427300260,"Warner Bros.","R","Action",2.8486684,2000,"Warner Bros.",309,"Nov-5"
"57",2018-03-29,"Ready Player One",1.5e+08,137018455,578621729,"Warner Bros.","PG-13","Adventure",3.85747819333333,2010,"Warner Bros.",88,"Mar-29"
"58",2006-05-05,"Mission: Impossible III",1.5e+08,133501348,397501348,"Paramount Pictures","PG-13","Action",2.65000898666667,2000,"Paramount Pictures",125,"May-5"
"59",2004-05-14,"Troy",1.5e+08,133298577,484161265,"Warner Bros.","R","Action",3.22774176666667,2000,"Warner Bros.",135,"May-14"
"60",2010-07-01,"The Last Airbender",1.5e+08,131772187,319713881,"Paramount Pictures","PG","Adventure",2.13142587333333,2010,"Paramount Pictures",182,"Jul-1"
"61",2007-11-02,"Bee Movie",1.5e+08,126631277,287594577,"Paramount Pictures","PG","Adventure",1.91729718,2000,"Paramount Pictures",306,"Nov-2"
"62",2009-07-24,"G-Force",1.5e+08,119436770,292817841,"Walt Disney","PG","Adventure",1.95211894,2000,"Walt Disney",205,"Jul-24"
"63",2008-11-21,"Bolt",1.5e+08,114053579,328015029,"Walt Disney","PG","Adventure",2.18676686,2000,"Walt Disney",326,"Nov-21"
"64",2012-03-30,"Wrath of the Titans",1.5e+08,83670083,305270083,"Warner Bros.","PG-13","Adventure",2.03513388666667,2010,"Warner Bros.",90,"Mar-30"
"65",2007-11-16,"Beowulf",1.5e+08,82280579,195080579,"Paramount Pictures","PG-13","Adventure",1.30053719333333,2000,"Paramount Pictures",320,"Nov-16"
"66",2010-02-12,"The Wolfman",1.5e+08,62189884,142634358,"Universal","R","Horror",0.95089572,2010,"Universal",43,"Feb-12"
"67",2017-02-17,"The Great Wall",1.5e+08,45157105,334550106,"Universal","PG-13","Action",2.23033404,2010,"Universal",48,"Feb-17"
